Action_end_bvh_frame,Action_end_rgb_frame,Action_end_rgb_sec,Action_label,Action_start_bvh_frame,Action_start_rgb_frame,Action_start_rgb_sec,Duration_sec,File,Meta_action_class_number,Meta_action_label,Operation,Recurrence,Subject
1071,270,9.0,[OP010] Consult sheets,324,82,2.72,6.28,P01_R01,2,Consult sheets,OP010,R01,P01
1528,385,12.84,[OP010] Catch Fixture key LARD,1343,338,11.28,1.56,P01_R01,7,Picking left,OP010,R01,P01
2247,566,18.88,[OP010] Place LARD on Profile P360-1,1647,415,13.84,5.04,P01_R01,12,Assemble system,OP010,R01,P01
3028,762,25.44,[OP010] Catch Fixation FIXA1,2776,699,23.32,2.12,P01_R01,6,Picking in front,OP010,R01,P01
3428,863,28.8,[OP010] Place FIXA1 on LARD at 160mm,3152,794,26.48,2.32,P01_R01,12,Assemble system,OP010,R01,P01
3857,971,32.4,[OP010] Catch Bolt B820,3719,936,31.24,1.16,P01_R01,7,Picking left,OP010,R01,P01
4514,1136,37.92,[OP010] Take measuring rod,4352,1096,36.56,1.36,P01_R01,8,Take measuring rod,OP010,R01,P01
4809,1211,40.4,[OP010] Take screwdriver,4685,1180,39.36,1.04,P01_R01,4,Take screwdriver,OP010,R01,P01
5304,1335,44.56,[OP010] Screw FIXA1 with B820,4904,1235,41.2,3.36,P01_R01,12,Assemble system,OP010,R01,P01
5623,1416,47.24,[OP010] Put down screwdriver,5328,1341,44.76,2.48,P01_R01,5,Put down screwdriver,OP010,R01,P01
5847,1472,49.12,[OP010] Put down measuring rod,5628,1417,47.28,1.84,P01_R01,9,Put down measuring rod,OP010,R01,P01
6847,1724,57.52,[OP020] Turn sheets,6490,1634,54.52,3.0,P01_R01,3,Turn sheets,OP020,R01,P01
6918,1742,58.12,[OP020] Consult sheets,6851,1725,57.56,0.56,P01_R01,2,Consult sheets,OP020,R01,P01
7218,1817,60.64,[OP020] Catch Fixture key LARD,6994,1761,58.76,1.88,P01_R01,7,Picking left,OP020,R01,P01
7889,1986,66.28,[OP020] Place LARD on P360-1,7270,1831,61.08,5.2,P01_R01,12,Assemble system,OP020,R01,P01
8251,2078,69.32,[OP020] Catch Bolt B820,7923,1995,66.56,2.76,P01_R01,7,Picking left,OP020,R01,P01
8575,2159,72.04,[OP020] Catch Fixation FIXA1,8318,2094,69.88,2.16,P01_R01,6,Picking in front,OP020,R01,P01
9756,2456,81.96,[OP020] Place FIXA1 on LARD at 160mm,8756,2205,73.56,8.4,P01_R01,12,Assemble system,OP020,R01,P01
9913,2496,83.28,[OP020] Take screwdriver,9789,2465,82.24,1.04,P01_R01,4,Take screwdriver,OP020,R01,P01
10341,2604,86.88,[OP020] Take measuring rod,10061,2533,84.52,2.36,P01_R01,8,Take measuring rod,OP020,R01,P01
10951,2757,92.0,[OP020] Screw FIXA1 with B820,10441,2629,87.72,4.28,P01_R01,12,Assemble system,OP020,R01,P01
11075,2788,93.04,[OP020] Put down screwdriver,10989,2767,92.32,0.72,P01_R01,5,Put down screwdriver,OP020,R01,P01
